Course Code,Course Name,Credits
APMA 1000,Preparation for Engineering Mathematics,1 - 3
APMA 1001,Calculus Placeholder,4
APMA 1090,Single Variable Calculus I,4
APMA 1110,Single Variable Calculus II,4
APMA 1501,Special Topics in Applied Mathematics,1
APMA 2120,Multivariable Calculus,4
APMA 2130,Ordinary Differential Equations,4
APMA 2501,Special Topics in Applied Mathematics,1 - 4
APMA 3080,Linear Algebra,3
APMA 3100,Probability,3
APMA 3110,Applied Statistics and Probability,3
APMA 3120,Statistics,3
APMA 3140,Applied Partial Differential Equations,3
APMA 3150,From Data to Knowledge,3
APMA 3340,Complex Variables with Applications,3
APMA 3501,Special Topics in Applied Mathematics,1 - 4
BME 1501,Special Topics,1
BME 2000,Biomedical Engineering Design and Discovery,3
BME 2101,Physiology I for Engineers,3
BME 2102,Physiology II,3
BME 2104,Cell and Molecular Biology for Engineers,3
BME 2220,Biomechanics,3
BME 2315,Computational Biomedical Engineering,3
BME 3030,Design and Innovation in Medicine,3
BME 3040,Regulation & Design of Biomedical Products,3
BME 3080,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),4
BME 3090,Biomedical Engineering Integrated Design and Experimental Analysis (IDEAS),4
BME 3240,Biotransport,3
BME 3310,Biomedical Systems Analysis and Design,3
BME 3636,Neural Network Models of Cognition and Brain Computation,3
BME 4063,Biomedical Engineering Capstone Design I,3
BME 4064,Biomedical Engineering Capstone Design II,3
BME 4280,Motion Biomechanics,3
BME 4290,Stem Cell Engineering,3
BME 4315,Systems Bioengineering,3
BME 4350,Biomedical Engineering Data Science,3
BME 4360,Molecular Data Science,3
BME 4370,Quantitative Biological Reasoning,3
BME 4380,Microbial Biomedical Engineering,3
BME 4390,Bioreaction Kinetics: Biomedical & Pharmacological Perspectives,3
BME 4414,Biomaterials,3
BME 4417,Tissue Engineering,3
CHE 2202,Thermodynamics,3
CHE 2215,Material and Energy Balances,3
CHE 2216,Modeling and Simulation in Chemical Engineering,4
CHE 2246,Introduction to Biotechnology,3
CHE 2595,Special Topics in Chemical Engineering,1 - 3
CHE 3316,Chemical Thermodynamics and Staged Unit Operations,4
CHE 3318,Chemical Reaction Engineering,3
CHE 3321,Transport Processes I: Momentum Transfer,3
CHE 3322,Transport Processes II: Heat and Mass Transfer,4
CHE 3347,Biochemical Engineering,3
CHE 3398,Chemical Engineering Laboratory I,3
CHE 4417,Tissue Engineering,3
CHE 4442,Applied Surface Chemistry,3
CHE 4445,Fundamentals of Process Safety,3
CHE 4448,Bioseparations Engineering,3
CHE 4449,Polymer Chemistry and Engineering,3
CHE 4450,Energy Science and Technologies,3
CHE 4452,Data Science in Chemical Engineering,3
CHE 4456,Bioproduct and Bioprocess Engineering,3
CHE 4474,"Process Synthesis, Modeling, and Control",2
CHE 4475,Introduction to Process Safety,1
CHE 4476,Chemical Engineering Design,3
CHE 4491,Chemical Engineering Laboratory II,3
CE 1501,Special Topics in Civil & Environmental Engineering,1
CE 2001,Sustainability Science,3
CE 2010,Civil Engineering Techniques,3
CE 2020,Engineering Economic Analysis,1
CE 2030,Management of Engineering and Construction Projects,3
CE 2100,Introduction to Environmental Engineering,3
CE 2110,Environmental Engineering Laboratory,1
CE 2300,Statics,3
CE 2310,Strength of Materials,3
CE 2320,Dynamics,3
CE 2500,Special Topics in Civil Engineering,3
CE 3000,Civil Engineering Systems Analysis,3
CE 3001,The Art and Science of Systems Modeling,3
CE 3010,Project Business Planning,3
